Segment Type,Segment Description,Answer,Count,Percentage
Mobile,Global results,Facebook,548,0.205
Mobile,Global results,Instagram,916,0.342
Mobile,Global results,Snapchat,86,0.032
Mobile,Global results,Twitter,179,0.067
Mobile,Global results,None,947,0.354
Web,Web,Facebook,0,0
Web,Web,Instagram,0,0
Web,Web,Snapchat,0,0
Web,Web,Twitter,0,0
Web,Web,None,2,1
Gender,Female voters,Facebook,222,0.199
Gender,Female voters,Instagram,535,0.48
Gender,Female voters,Snapchat,29,0.026
Gender,Female voters,Twitter,57,0.051
Gender,Female voters,None,271,0.243
Gender,Male voters,Facebook,326,0.209
Gender,Male voters,Instagram,380,0.243
Gender,Male voters,Snapchat,56,0.036
Gender,Male voters,Twitter,122,0.078
Gender,Male voters,None,678,0.434
University,University of Delaware,Facebook,1,0.333
University,University of Delaware,Instagram,1,0.333
University,University of Delaware,Snapchat,0,0
University,University of Delaware,Twitter,0,0
University,University of Delaware,None,1,0.333
University,University of Pennsylvania,Facebook,1,0.25
University,University of Pennsylvania,Instagram,1,0.25
University,University of Pennsylvania,Snapchat,0,0
University,University of Pennsylvania,Twitter,0,0
University,University of Pennsylvania,None,2,0.5
University,Students of New York,Facebook,0,0
University,Students of New York,Instagram,21,0.467
University,Students of New York,Snapchat,1,0.022
University,Students of New York,Twitter,5,0.111
University,Students of New York,None,18,0.4
University,University of Central Arkansas,Facebook,0,0
University,University of Central Arkansas,Instagram,1,1
University,University of Central Arkansas,Snapchat,0,0
University,University of Central Arkansas,Twitter,0,0
University,University of Central Arkansas,None,0,0
University,Northeastern University,Facebook,1,0.5
University,Northeastern University,Instagram,0,0
University,Northeastern University,Snapchat,0,0
University,Northeastern University,Twitter,0,0
University,Northeastern University,None,1,0.5
University,West Virginia University ,Facebook,0,0
University,West Virginia University ,Instagram,0,0
University,West Virginia University ,Snapchat,0,0
University,West Virginia University ,Twitter,0,0
University,West Virginia University ,None,2,1
University,Northern Arizona University,Facebook,1,1
University,Northern Arizona University,Instagram,0,0
University,Northern Arizona University,Snapchat,0,0
University,Northern Arizona University,Twitter,0,0
University,Northern Arizona University,None,0,0
University,"University of California, Santa Barbara",Facebook,1,1
University,"University of California, Santa Barbara",Instagram,0,0
University,"University of California, Santa Barbara",Snapchat,0,0
University,"University of California, Santa Barbara",Twitter,0,0
University,"University of California, Santa Barbara",None,0,0
University,University of Memphis,Facebook,0,0
University,University of Memphis,Instagram,0,0
University,University of Memphis,Snapchat,0,0
University,University of Memphis,Twitter,0,0
University,University of Memphis,None,1,1
University,Auburn University,Facebook,0,0
University,Auburn University,Instagram,0,0
University,Auburn University,Snapchat,0,0
University,Auburn University,Twitter,0,0
University,Auburn University,None,4,1
University,Randolph-Macon College,Facebook,1,0.143
University,Randolph-Macon College,Instagram,2,0.286
University,Randolph-Macon College,Snapchat,0,0
University,Randolph-Macon College,Twitter,1,0.143
University,Randolph-Macon College,None,3,0.429
University,Wisconsin HS,Facebook,0,0
University,Wisconsin HS,Instagram,0,0
University,Wisconsin HS,Snapchat,1,1
University,Wisconsin HS,Twitter,0,0
University,Wisconsin HS,None,0,0
